Distancia_km,Cantidad_Productos,Hora_Pedido,Dia_Semana,Tipo_Transporte,Clima,Trafico,Tiempo_Entrega
19.352465823520763,18,4,1,Camion,Lluvia,Leve,44.1890532606063
47.58500101408589,75,20,1,Camion,Lluvia,Alto,67.79636309334322
36.86770314875885,102,13,1,Camion,Lluvia,Leve,61.9207543868686
30.334265725654795,20,13,0,Moto,Lluvia,Leve,43.29459280872889
8.64491338167939,117,3,0,Moto,Lluvia,Leve,50.843703376700134
8.64373149647393,174,1,1,Moto,Soleado,Moderado,64.04028974023329
3.8460969962417737,117,1,0,Moto,Lluvia,Moderado,45.84118047221341
43.44263114297183,173,16,0,Moto,Lluvia,Alto,87.19970671218734
30.45463557541723,4,9,1,Moto,Lluvia,Alto,45.66559500369971
35.69555631200623,84,13,0,Camion,Lluvia,Alto,47.184000073701355
2.00864022049432,148,18,0,Moto,Soleado,Moderado,55.36760294739614
48.52558275593772,139,16,0,Camion,Soleado,Moderado,73.99375615232528
41.78968939922066,114,21,1,Moto,Soleado,Leve,72.24954852547654
11.404616423235531,65,10,1,Moto,Lluvia,Leve,39.752668306631364
9.90942339314793,146,6,1,Moto,Lluvia,Alto,68.88898792911176
9.986820982818257,167,8,1,Moto,Soleado,Leve,69.56824272421429
15.907869905017348,44,13,1,Camion,Soleado,Leve,46.64259146213417
26.713065149979656,118,22,1,Camion,Lluvia,Moderado,67.07425073205998
22.165305913463673,100,3,1,Camion,Lluvia,Moderado,61.261729375981034
15.270227869704053,18,13,0,Camion,Soleado,Moderado,38.641741503111916
30.980791841396595,175,19,1,Moto,Soleado,Alto,72.86968284943264
7.83519917195005,159,23,0,Moto,Lluvia,Moderado,71.01596244425338
15.31508777822569,128,19,1,Camion,Lluvia,Alto,71.42928078725417
18.951730321390894,167,16,1,Camion,Lluvia,Leve,63.30459081674108
23.34742922663476,38,18,1,Camion,Lluvia,Leve,42.069190341265724
39.473622108257665,175,16,1,Moto,Soleado,Leve,80.33067361170973
10.784015325759627,198,13,0,Moto,Lluvia,Leve,72.77673161999905
26.19748748226697,136,12,1,Moto,Lluvia,Moderado,72.96328898979856
30.02831387424008,104,13,0,Moto,Soleado,Leve,65.38437567969069
3.2760702232798886,193,15,0,Moto,Soleado,Moderado,71.36912927573344
30.76969774317048,13,20,0,Camion,Lluvia,Leve,44.497287737055906
9.355682060677285,55,14,1,Moto,Lluvia,Leve,39.286454436246764
4.187528056278696,88,18,1,Moto,Lluvia,Moderado,57.242868518623375
47.49539132541333,85,21,0,Moto,Soleado,Alto,70.05983631684437
48.315969620653405,109,10,1,Moto,Soleado,Moderado,73.79090280888597
40.6114700577066,43,11,1,Moto,Lluvia,Alto,51.75071873806204
15.926074689495163,132,10,1,Moto,Lluvia,Moderado,67.77016181238069
5.78593358631281,71,22,0,Moto,Soleado,Alto,49.70220287395993
