Distancia_km,Cantidad_Productos,Hora_Pedido,Dia_Semana,Tipo_Transporte,Clima,Trafico,Tiempo_Entrega
19.452465824520764,18,4,1,Camion,Lluvia,Moderado,44.1890542606064
47.58500101408589,75,20,1,Camion,Lluvia,Alto,67.79646409444422
46.86770414875885,102,14,1,Camion,Lluvia,Moderado,61.9207544868686
40.444265725654795,20,14,0,Moto,Lluvia,Moderado,44.29459280872889
8.64491448167949,117,4,0,Moto,Lluvia,Moderado,50.844704476700144
8.64474149647494,174,1,1,Moto,Soleado,Moderado,64.04028974024429
4.8460969962417747,117,1,0,Moto,Lluvia,Moderado,45.84118047221441
44.44264114297184,174,16,0,Moto,Lluvia,Alto,87.19970671218744
40.45464557541724,4,9,1,Moto,Lluvia,Alto,45.66559500469971
45.69555641200624,84,14,0,Camion,Lluvia,Alto,47.184000074701455
2.00864022049442,148,18,0,Moto,Soleado,Moderado,55.46760294749614
48.52558275594772,149,16,0,Camion,Soleado,Moderado,74.99475615242528
41.78968949922066,114,21,1,Moto,Soleado,Moderado,72.24954852547654
11.404616424245541,65,10,1,Moto,Lluvia,Moderado,49.752668406641464
9.90942449414794,146,6,1,Moto,Lluvia,Alto,68.88898792911176
9.986820982818257,167,8,1,Moto,Soleado,Moderado,69.56824272421429
15.907869905017448,44,14,1,Camion,Soleado,Moderado,46.64259146214417
26.714065149979656,118,22,1,Camion,Lluvia,Moderado,67.07425074205998
22.165405914464674,100,4,1,Camion,Lluvia,Moderado,61.261729475981044
15.270227869704054,18,14,0,Camion,Soleado,Moderado,48.641741504111916
40.980791841496595,175,19,1,Moto,Soleado,Alto,72.86968284944264
7.84519917195005,159,24,0,Moto,Lluvia,Moderado,71.01596244425448
15.41508777822569,128,19,1,Camion,Lluvia,Alto,71.42928078725417
18.951740421490894,167,16,1,Camion,Lluvia,Moderado,64.40459081674108
24.44742922664476,48,18,1,Camion,Lluvia,Moderado,42.069190441265724
49.474622108257665,175,16,1,Moto,Soleado,Moderado,80.44067461170974
10.784015425759627,198,14,0,Moto,Lluvia,Moderado,72.77674161999905
26.19748748226697,146,12,1,Moto,Lluvia,Moderado,72.96428898979856
40.02841487424008,104,14,0,Moto,Soleado,Moderado,65.48447567969069
4.2760702242798886,194,15,0,Moto,Soleado,Moderado,71.46912927574444
40.76969774417048,14,20,0,Camion,Lluvia,Moderado,44.497287747055906
9.455682060677285,55,14,1,Moto,Lluvia,Moderado,49.286454446246764
4.187528056278696,88,18,1,Moto,Lluvia,Moderado,57.242868518624475
47.49549142541444,85,21,0,Moto,Soleado,Alto,70.05984641684447
48.415969620654405,109,10,1,Moto,Soleado,Moderado,74.79090280888597
40.6114700577066,44,11,1,Moto,Lluvia,Alto,51.75071874806204
15.926074689495164,142,10,1,Moto,Lluvia,Moderado,67.77016181248069
5.78594458641281,71,22,0,Moto,Soleado,Alto,49.70220287495994
44.527418299095686,188,4,0,Moto,Lluvia,Alto,72.95148044904677
22.567472194240462,12,7,0,Camion,Lluvia,Moderado,40.95552004750484
6.979874507494164,59,5,0,Moto,Soleado,Alto,45.054464204579425
25.264668595452248,182,15,0,Camion,Lluvia,Moderado,80.96600047402447
2.6850475446457014,44,11,1,Moto,Lluvia,Alto,40.55419746928418
45.556699701860425,16,5,0,Moto,Lluvia,Moderado,49.190559124980194
14.68021909840084,144,12,0,Moto,Lluvia,Moderado,62.42025702812097
44.464591944445114,14,6,0,Camion,Lluvia,Moderado,48.09151849858904
16.274842728481147,115,7,0,Camion,Soleado,Moderado,55.76104805954428
26.48444404771274,112,11,1,Moto,Lluvia,Alto,69.02876440244612
27.788804687820704,124,1,1,Camion,Lluvia,Moderado,68.98445648409714
10.057868420750824,58,22,0,Camion,Lluvia,Moderado,45.049662978522546
48.50964676046447,159,8,1,Moto,Lluvia,Moderado,84.71444441679017
48.98150844469461,169,12,0,Moto,Lluvia,Alto,81.96552116450914
47.045448146645265,120,16,0,Moto,Soleado,Moderado,68.90742144740574
44.84654017095479,45,12,0,Moto,Soleado,Moderado,60.11614449194227
40.29709896174417,10,15,1,Moto,Soleado,Alto,48.24544059480491
46.171847516142726,81,0,1,Moto,Lluvia,Moderado,65.41900445179004
